Name,URL,Description,Seed,A,B,C,Seed,A,B,C
Alltuition,http://www.crunchbase.com/company/edulender,"<p>Alltuition makes the financial aid process more transparent and easier to navigate. Their search engine tracks hundreds of student loan providers to help students find the best loans they are eligible for and understand the real cost of borrowing. </p>

<p>Alltuition notes on its blog that the Government Accountability Office (GAO) concluded that there was no way something like this could be built. </p>",1000000.0,,,,3/8/2011,//,7/1/2012,//
Alumnize,http://www.crunchbase.com/company/alumnize,"<p>Whether you are looking for a job, looking to recruit or looking for ways to enhance professional and personal development, Alumnize offers a platform to network with your alumni to achieve your goals</p>

<p>Leverage the Power of Alumni network !! Start Alumnizing!</p>",,,,,//,//,//,//
AmateurU.com,http://www.crunchbase.com/company/amateuru-com,"<p>Amateur U is a blog that posts photos, stories and funny tropes/anecdotes for the world to see. It&#8217;s a place for young people to come together and remember their dumbest, funniest, raunchiest college experiences. </p>

<p>Started in March 2012 by three brothers from New Jersey(fuck you, it&#8217;s a Jersey thing) it&#8217;s rapidly growing to be a premiere site on the internet. </p>",,,,,//,//,//,//
American Higher Education Development,http://www.crunchbase.com/company/american-higher-education-development,"<p>AHED is a management acquisition firm that operates post-secondary educational institutions including Madison Media Institute in Madison, Wisconsin, Rockford Business College in Rockford, Illinois and Stautzenberger College with locations in Maumee, Ohio and Strongsville, Ohio. AHEDâ€™s schools are industry leading career training facilities that prepare students for entering their chosen career field in a timely fashion.</p>",,,,,//,//,//,//
AmpleTrails,http://www.crunchbase.com/company/ampletrails-3,"<p>AmpleTrails is a startup providing softsolutions to the leading enterprises around the world. 
Our team consist qualified and experienced designers, developers, programmers. Client satisfaction is our motto and our team is dedicated to achieve this motto by providing high end and latest solutions to the clients.  The top most product of company is e-learning solutions which provide e-platform to the teacher to teach students through web and videos. Ontime face to face interaction enhances the learning and brings the real learning environment. We deals in other softsolutions like; School Management System, University Management System, College Management System, RFID based Solutions, SMS based Solutions, Library Management System, Website Development, and many more. We are pleased to modify our products according to the requirements of the client. As we are bonded to provide complete solutions to the client we deal in computer hardware, security systems, Biometric Attendance and Time machines, Interactive Learning Tools, etc.</p>",,,,,//,//,//,//
AnyCollege.com,http://www.crunchbase.com/company/anycollege-com,"<p>AnyCollege.com is a college search portal that lets potential college students search by school type, location, and program. </p>",,,,,//,//,//,//
ApplyMate.com,http://www.crunchbase.com/company/applymate-com,"<p>ApplyMate.com is the first free web app that helps users track school and job applications.  Now, rather than just flinging dozens and dozens of applications out there, people can track due dates, sync calendars, see all apps in progress, and get email reminders â€“ all in one place, for free.</p>

<p>With unemployment at 9.5% and the typical unemployed worker out of work for six months, people are either applying for jobs like mad, or going back to school.  The need for a free tool like ApplyMate.com has never been greater.</p>

<p>The Blog
On August 26, 2010 we launched the ApplyMate blog (http:applymate.com/blog).  Here youâ€™ll find posts relevant to ApplyMate users â€“ people applying for jobs, high school students applying for college, college students applying for grad schools, or some combination of the three. If someone&#8217;s a recent college grad and is looking for a job while contemplating or pursuing grad school, they really need all the help they can get. Thatâ€™s the whole reason ApplyMate.com and the Blog exist.</p>",,,,,//,//,//,//
Attendance Online,http://www.crunchbase.com/company/attendance-online,"<p>Attendance Online (AOMS) is college management system software which gives easy access to complete college management information through a user friendly web interface. It manages academic activities by providing easy and effective administration of colleges by bringing all stakeholders â€“College authority, faculty, Student and Parents under one umbrella.</p>

<p>Lately the total strength of   academic institutions is increasing rapidly making it a difficult task to effectively administrate students, teachers and staff. Consequently, there is a pressing need for a better management system, which is, aptly filled by Attendance Online. Being involved in each and every activity in the college directs the spearheads of the institute to add control over the whole campus.</p>

<p>A world class institution must have a fully committed team, motivated staff and an impressive studentsâ€™ record. In addition to that, AOMS is an unique solution which caters to six other instrumental pillars, essential for the success of any established institution: Branding, Communication, Work Flow Management, Sales &amp; Marketing, Cutting Costs and easy access to a complete management information system.</p>

<p>The software is embedded with following features: College Information, Uploading Syllabus/ Courseware/ Mock Papers, Attendance Management System, Leave Management System, Admission Process Management, Attendance &amp; Marks Cards Performance, Courseware Tracking, Admission Process Management, Data Security Management, Staff Management, Question Bank, Time Table, Online Services, Alerts and Notices, Email Integration, SMS Integration, MIS Reports, Greetings System, Biometric Interface, and IVRS facilities.</p>

<p>Attendance Online is the easiest way to keep track of attendance for academic institutions.  The Software is anchored by Wonesty Web Solutions an ISO 9001: 2008 certified Company.  It has 14 years of experience in internet, education technology and e- governance projects. All the experience and skills of the company is harnessed to add significant value to college/university campuses . AOMS is easy to use and it can be a standalone solution in the college management system. For more insight about the product please visit http://www.attendanceonline.com </p>",,,,,//,//,//,//
Benchmark Prep,http://www.crunchbase.com/company/benchmark-prep,"<p>Benchmark Prep is an online test prep company based out of New York City. </p>

<p>Benchmark Prep specializes in test prep for GMAT, MCAT, LSAT, ACT, and SAT. Our philosophy is very simple, we provide our students with tougher questions, superior technology, and better gains.</p>

<p>To achieve these goals, we have hired some the best GMAT question writers to make our questions more detailed, more conceptual, and more accurate. We have also invested heavily in our online Live and Adaptive platforms in order to provide our students with the most-intelligent learning engine available. </p>

<p>Furthermore, unlike our competition, we back up our products with a money-back guarantee. </p>",,,,,//,//,//,//
Best Online Universities,http://www.crunchbase.com/company/best-online-universities,"<p>Best Online Universities LLC develops top quality higher education websites that connect students to accredited colleges and universities across the United States. The company provides useful information to visitors, while simultaneously generating highly qualified leads for online universities. Their portfolio of sites reaches hundreds of thousands of unique visitors per month who are interested in healthcare administration, criminal justice, and many other degree programs.</p>",,,,,//,//,//,//
BharatMagic,http://www.crunchbase.com/company/bharatmagic,"<p>BharatMagic.com is a Directory / Yellow Page and Review Site of India.</p>

<p>It is a review site for the people to review local businesses and see them. It also has useful information on businesses, schools, college, hospital, restaurants, hotels, taxi, police in many places including kolkata, bangalore, delhi, chennai, madras, mumbai / Bombay.</p>

<p>Mission 
BharatMagic.com is a dream. It is a dream to connect people with the local businesses and showcase culture of the place. </p>",,,,,//,//,//,//
BkBid,http://www.crunchbase.com/company/bkbid,"<p>Re Ink, LLC is a Limited Liability Company organized under the laws of the State of Wisconsin and established in 2006 by Dylan K. Pinkus. Re Ink uses resources to generate new ideas for current problems and solutions with products and services. The ideas we come up with take in consideration of the buyers, sellers, enviornment, and any other element that is involved in the products and services.</p>

<p>Re Ink has a portfolio that contains projects large and small. From Olympic venue design to computer ink catridge refilling stations, marketing consultation and website services, Re Ink uses vast resources and market research to develop the best product and services avalible. </p>

<p>Currently, Re Ink is working on a student directed website that will allow college students to buy and sell textbooks to one another. The research has provided that the optimal system is an online auction at no cost to the buyers and sellers. Along with this, a medium for exchanging books was implimented into the site to allow for practically free shipping. BkBid.com is a free online auction that will allow users to sell their items for more than a traditional method while paying less for the same materials. </p>",,,,,//,//,//,//
Blink for iPhone and Android,http://www.crunchbase.com/company/blink-for-iphone-and-android,"<p>Blink makes running into your friends in crowded places simple! What once was a crowded place filled with strangers will now become familiar as you will instantly see which of your friends are there too! With Blink&#8217;s messenger you can send your location to friends so you&#8217;ll never have trouble giving directions again. Finally, you can check-in and follow your favorite venues using Blink&#8217;s fun and intuitive map!</p>

<p>It is perfect for college tailgates, house parties, connecting with friends at crowded bars, shopping, sporting events, class orientation, coordinating study groups, and more.</p>

<ul>
<li>See when Friends are nearby</li>
<li>Chat as well as send your location and directions</li>
<li>See where you friends are checked-in</li>
<li>Follow your favorite venues</li>
</ul>

<p>Don&#8217;t Blink or you&#8217;ll miss it!!!</p>",50000.0,,,,12/1/2011,//,//,//
Book.ly,http://www.crunchbase.com/company/book-ly,"<p>Book.ly is a price comparison site that helps people save money and time when buying books. </p>

<p>While in college, I spent hundreds of dollars on books, even after spending hours online to find the best deals - until I found book.ly. Our site has school specific information so it knows what books are on each class&#8217; syllabus and which of our reputable affiliates sells them at the lowest price, offering the opportunity to purchase new/used books, e-books, or even rent. Once students complete their courses, they may sell their books back. book.ly offers all purchasing and selling options, so students can truly save and earn the most. </p>",,,,,//,//,//,//
BookCheetah,http://www.crunchbase.com/company/book-cheetah,"<p>BookCheetah is a student-to-student textbook marketplace. </p>

<p>BookCheetah eliminates the necessity for students to use the  university bookstore. Students buy or sell textbooks directly with other students reducing costs significantly.  No paying for shipping or bookstore prices. Students post books to BookCheetah, then once a match is made, students use tokens to connect with their fellow students. </p>

<p>BookCheetah was founded by an Economics Professor from Colorado College and some of his former students. </p>",,,,,//,//,//,//
BookMaid,http://www.crunchbase.com/company/bookmaid,"<p>BookMaid is used textbook trading application exclusive to Rochester Institute of Technology students.</p>

<p>BookMaid was originally named RITBook, but after RIT threated legal action upon the creator of RITBook, Dan Leveille, the name was forced to be changed. This was due to alleged &#8220;trademark infringement&#8221; of the institute&#8217;s trademark &#8220;RIT.&#8221;</p>

<p>BookMaid has been exhibited at Imagine RIT: Innovation and Creativity Festival in both 2008 and 2009.</p>",,,,,//,//,//,//
BookRenter.com,http://www.crunchbase.com/company/bookrenter-com,"<p>BookRenter launched the first online textbook rental site in 2006 and remains the fastest growing service. Dedicated to making education more affordable by allowing students to rent textbooks for up to 80% off the retail price. <a href=""http://www.bookrenter.com"" title=""BookRenter&#8217;s"" rel=""nofollow"">BookRenter&#8217;s</a> innovative pricing and operating systems provide students with the best price, highest quality books, and most flexible rental experience available today. Currently carrying over 5.5 million titles and serving thousands of students on over 5,000 U.S. campuses, BookRenter is one of the fastest growing startups in Silicon Valley, growing at over 300% each year. BookRenter is headquartered in San Mateo, CA and is funded by Storm Ventures, Norwest Venture Partners, and Adams Capital. </p>

<p>The Idea behind BookRenter.com came from the frustration associated with buying textbooks when the founder, <a href=""http://www.bookrenter.com/about_us,"" title=""Colin Barceloux"" rel=""nofollow"">Colin Barceloux</a> attended Santa Clara University as an Undergraduate Student. BookRenter.com utilizes state-of-the-art technology and superior customer service to provide students with a better value and a hassle-free process. </p>",,6000000.0,10000000.0,,//,11/22/2009,6/3/2010,//
BookStreet.in,http://www.crunchbase.com/company/bookstreet-in,<p>BookStreet.in is an online textbook rental service for undergrad and graduate students that enables students to rent textbooks at a fraction of the cost. </p>,,,,,//,//,//,//
Bookbyte.com,http://www.crunchbase.com/company/bookbyte-com,"<p>BookByte is an online textbook sales site that buys books from students at top dollar and sells college textbooks for all popular college courses. Get a free price quote at: http://www.bookbyte.com/sell.aspx?</p>

<p>Whether youâ€™re selling a used college textbook or need to buy a new or used college textbook at a great price, our friendly and experienced customer service team is committed to helping you every step of the way. Like answering your emails courteously and promptly, and making sure that when you call us, we provide you with the answers youâ€™re looking for. And ensuring that most orders are processed and shipped within 24 hours.</p>

<p>Fast, honest, and reliable service. Thatâ€™s our Bookbyte family motto. Thank you for visiting our website. We appreciate your business. And if you are ever in the Salem, Oregon area, please stop by and visit our facilities. Maybe while you are here I can talk you into a game of Ping Pong!</p>",,,,,//,//,//,//
Booklook,http://www.crunchbase.com/company/booklook,"<p>Booklook is an online marketplace where students can buy and sell their unused books. Students subscribe to their current college or university. When buying a book from or selling a book to another student, the system provides several ways to communicate and handle the deal.</p>",,,,,//,//,//,//
Bookstep.com,http://www.crunchbase.com/company/bookstep-com,<p>Don&#8217;t buy or rent textbooks.  Bookstep is a social textbook platform that lets you access digital textbooks on-demand.</p>,,,,,//,//,//,//
BulldogByte,http://www.crunchbase.com/company/bulldogbyte,"<p>BulldogByte.com was a free online textbook listing service start-up. The main goal is to build an online community where college students can network to find a textbooks from other students within their own campus at better prices than those of the bookstores. Other cool features include roommate finder, campus events, professor ratings, and class notes!</p>",,,,,//,//,//,//
C.A. Jones Management Group,http://www.crunchbase.com/company/c-a-jones-management-group,"<p>C.A. Jones Management Group provides an umbrella for the diverse business holdings of Charles A. (Chuck) Jones, of Murray, Kentucky.</p>

<p>Holdings include a college textbook division, IT division, Retail and commercial real estate divisions.</p>",,,,,//,//,//,//
COLLEW.com,http://www.crunchbase.com/company/collew-com,<p>COLLEW.com is a college news &amp; blog aggregator. We link useful sources for college students. We filter our links to provide college students with the most relevant news around the web.</p>,,,,,//,//,//,//
Calisto100,http://www.crunchbase.com/company/calisto100,"<p>Calisto100 is a community for students to vote and connect with other members from over 2,000 colleges and universities.</p>

<p>Calisto100, headquartered in San Francisco, is an exclusive social media networking community dedicated to connecting undergraduates and graduates across the country. Students rate their favorite (or least favorite) photos. The site features a community-rated list of the top 100 highest rated students as well as a ranking platform.</p>",,,,,//,//,//,//
Campus Destinations,http://www.crunchbase.com/company/campus-destinations,"<p>Campus Destinations is a leading information services company for college campuses and college-based communities. Since 2004, the company has operated successfully to save students both time and money. College students and the local communities benefit from multiple products and services the Company offers, including:</p>

<ul>
<li><p>CD Citations: Campus Destinations&#8217; citation tool which allows users to automate citations in MLA format for free. Users can upgrade to premium / pro accounts to get more features including APA and Chicago / Turabian citations.</p></li>
<li><p>Black Card: The Black Card enables the college community to save at various national and local vendors. Over the years, Campus Destinations has partnered with such vendors at Chipotle, 1-800 Flowers, and Shoes.com to bring discounts to the college market.</p></li>
<li><p>Textbooks Search: Campus Destinations has created an easy 
to use interface to search, compare and buy textbooks from various vendors including: Amazon, Barnes &amp; Noble, Half.com and more. Average savings from users using this feature are above 60%.</p></li>
<li><p>Classifier: Classifier enables students to optimize their schedule on-campus. The application allows students to pick various classes in a primary and secondary bookbag and compare schedules in real time. Students can also schedule personal events, input comments, and export their schedule to Outlook / iCal and Facebook.</p></li>
<li><p>On Campus Information: Campus Destinations has aggregated content about on-campus locations at over 40 universities. These popular campus destinations highlight facilities, cool facts and more.</p></li>
<li><p>Local Business Information: Campus Destinations has aggregated content about local businesses around 40+ universities. Users can explore recommendations, reviews and information at all of these locations and registered users can share their experiences.</p></li>
</ul>",,,,,//,//,//,//
Campus Explorer,http://www.crunchbase.com/company/campus-explorer,"<p><a href=""http://www.campusexplorer.com"" title=""Campus Explorer"" rel=""nofollow"">Campus Explorer</a> is a college search engine and provides online search services for post secondary education.  </p>

<p>Users plug their test scores and grades into Campus Explorer, and the site narrows down the colleges, and tell them if they can get in to the schools they want to.  </p>

<p>As of May 2008, Campus Explorerâ€™s database contains information on more than 6,000 schools.  </p>",,,2250000.0,5000000.0,//,8/13/2007,2/17/2009,1/27/2011
Campus Jerk,http://www.crunchbase.com/company/campus-jerk,"<p>CampusJerk.com is a interactive website built for college students which combines college video sharing, college networking, anomyous gossip, college next morning stories, and video contest and giveaways into one location.</p>

<p>CampusJerk was developed for college students, and college campuses around the nation.  We use a Campus Selector, located on our homepage, so users can select their campus (college) and it displays videos uploaded by other students that go to that college.  They can visit and comment on the campus gossip, along with read and write funny/embarrassing/amusing stores from last night, last weekend or anything like that.</p>

<p>We hold video contest, where users can submit videos they have uploaded that fit the contest description, and fellow users vote on the videos and we give away great prizes such as I-Pods, travel vouchers, plane tickets, concert tickets, sporting event tickets, etc.. If you have a great gift idea, we would love to hear it!  (membership@campusjerk.com)</p>

<p>For any questions/concerns/ideas/advertising inquiries, please visit our site www.campusjerk.com and visit the HELP tab for company department info, or submit an inquiry via our Contact US tab located on the footer of the page for general Inquiries!</p>",,,,,//,//,//,//
Campus Shift,http://www.crunchbase.com/company/campus-shift,"<p>We are a higher education social media marketing company. </p>

<p>Campus Shift was created to build online communities of students, campus organizations, student entrepreneurs, and local businesses. The purpose of the community is to help students get more out of their higher education experience with money saving services, ways to earn money, and even start a business. </p>",15000.0,,,,5/1/2012,//,//,//
Campus Socialite Media,http://www.crunchbase.com/company/campus-socialite-media,"<p>Campus Socialite Media is the avenue to social culture and the vehicle to connect to the trends, events, and ideas that define Generation Y.  Look at us as a translator who speaks corporate, but our native tongue is college.  Students are attracted to the authentic feel of Campus Socialite Media as we position ourselves as a hybrid agency that gives off a corporate, yet cool vibe.  We empower college students, or as we like to refer to them as â€“ Campus Socialites â€“ to be the brand ambassadors to assist in the integration of the products and brands that benefit their lifestyle.  The Campus Socialites are the trend setters and social influencers within their college community.  Our unique social culture encourages not only college students, but seasoned executives to connect with the social forces that shape aspiring young minds. </p>

<p>Through direct work with students, our agency navigates the avenues that guide companies through the college world by presenting you with only the very finest elements of your communityâ€™s social, academic, and commercial landscape.  Our efforts span from launching awareness campaigns to hosting large scale music and entertainment festivals to coordinating social networking enterprises that stir excitement and generate a buzz among the campus population.  We know the social forces that define studentsâ€™ lives and strive to satisfy your every request in the revolving-door world present in all of the nation&#8217;s universities.</p>",,,,,//,//,//,//
CampusBookHound,http://www.crunchbase.com/company/campusbookhound,"<p>At the end of each semester, each student is faced with the challenge - &#8220;where do I sell my used textbooks?&#8221; The University bookstore, buys the textbooks for one-third of the purchase price. The online sites take your book away for less than a third of the original price. The student looses most of the value of the book in three months. On the buying side, the same textbook show up at two-thirds of the original value. So the buyers are locked at high prices. Students loose the value of their textbooks when buying and selling. CampusBookHound is here to change that.</p>

<p>CampusBookHound gives you the freedom to sell books for the price you want and buy them for the best deal possible. Sellers set the price, so you know you will get the most for your books, better than the bookstore&#8217;s buy-back prices. Buyers bid on books at prices below the bookstore. Both the seller and the buyer get the best of both worlds. Both the buyer and seller retains most of their value on the textbook. </p>

<p>What does it cost to list a textbook on CampusBookHound?
Sellers can list their book for One-Dollar! No hidden fees or surprises! It&#8217;s that simple, list you book for a dollar and retain the value of what you paid for your textbook!</p>

<p>At CampusBookHound, we put students first and help them save more and spend less on textbooks! Visit us at &lt;a href='http://www.CampusBookHound.com' target='_blank'&gt;http://www.CampusBookHound.com&lt;/&gt; to learn more about how you can be a part of this change.</p>",,,,,//,//,//,//
CampusBooks.com,http://www.crunchbase.com/company/campusbooks-com,<p>CampusBooks provides real time price comparisons on new and used textbooks as well as rentals. </p>,,,,,//,//,//,//
CampusBuddy,http://www.crunchbase.com/company/campusbuddy,"<p>CampusBuddy connects college and high school studentsâ€”to each other, and to information critical to their success. </p>

<p>College students can access official grades and comprehensive reviews about professors, courses, departments and the campus. High school students can tap into official admissions data and real student feedback about prospective colleges. All of the features are provided to users at no cost. Our facebook platform integration enables users to socialize and connect with classmates, courses and campuses they are attending or even considering.  As a free resource, CampusBuddy is home to the largest, most up-to-date, and most accessible collection of official university grade distributions anywhere. Over 80 million grades from hundreds of universities are analyzed by CampusBuddy.</p>",,,,,//,//,//,//
CampusOwl,http://www.crunchbase.com/company/campusowl,"<p>Our goal is to create an online community for students that doesnâ€™t suck. With exams, rent, and a social life, thereâ€™s no need to waste time navigating confusing websites in search of good deals.</p>

<p>CampusOwl is designed to be the most simple, convenient, and user-friendly college classifieds website. We provide a free way to get what you need from your peers, and to avoid overpriced campus bookstores and sketchy (scam) postings from random people.</p>",,,,,//,//,//,//
CampusSensations,http://www.crunchbase.com/company/campussensations,"<p>Campus Sensations is a students social networking website, to interact and chat, flavoured with some useful students tools such as academic project</p>",,,,,//,//,//,//
Campusbazar,http://www.crunchbase.com/company/campusbazar,"<p>Campusbazar is a student-only marketplace community, providing college students with a safe environment to buy and sell what they need on their campus.</p>

<p>Using a .edu verification to ensure that customers are real students, Campusbazar&#8217;s goal is to make college life easier for students by helping them find the right people on campus to buy and sell with, outside of their usual social circle.</p>

<p>Students can post wares and contact other student vendors directly, without having to supply any financial information. </p>

<p>Products/Services that can be advertised on the website include textbooks, furniture, apartments, rides, roommates, and volunteering for projects.</p>",,,,,//,//,//,//
Campushift,http://www.crunchbase.com/company/campushift,"<p>Campushift lets students compare prices on textbooks with its search engine.  The company also has a textbook swap application within its social network that allows students to meet up in a public location and exchange their books for a fair price, using their structured textbook exchange platform.   </p>",,,,,//,//,//,//
Cappex.com,http://www.crunchbase.com/company/cappex-com,"<p><a href=""http://www.crunchbase.com/company/cappex-com"" title=""Cappex"">Cappex</a> makes the process of finding the perfect college simple.</p>

<p>Cappex has set out to improve the college admissions process by helping universities and students connect. High school students fill out a profile on Cappex and receive invitations to apply to universities they may have never heard about otherwise. </p>

<p>Meanwhile, Cappex works one-on-one with colleges to help them target appropriate students. The service is free students and is advertiser and college supported.</p>

<p>The founder of Cappex, Leon Heller, was previously chairman and CEO of FastWeb until it was sold to Monster in in 2001. </p>",,,,,//,//,//,//
CaptainU,http://www.crunchbase.com/company/captainu,"<p>CaptainU is a platform for student athletes that leverages internet technology to change the game in the sports and education landscape. </p>

<p>CaptainUâ€™s technology brings the key parties together on one platform and leverages data to match, connect and guide families to success. This includes creating connectivity and discovery for athletes, teams and service providers and empowering athletes and their families to make choices that drive athletic success from 4th grade through College. Since launch, CaptainU has grown to 250,000 athletes and has enabled over 1.5m connections.</p>",,,,,//,//,//,//
CertificationPoint,http://www.crunchbase.com/company/certificationpoint,"<p>CertificationPoint.Org strives to be the standard in overall centralization of one&#8217;s verified credential information for employers to find the best and brightest. We provide a secure freelance marketplace (along with project management tools) for businesses, freelance professionals, &amp; college students.</p>

<p>CertificationPoint is a global online employment marketplace. CertificationPoint allows clients to hire businesses, college students, as well as independent contractors. Online collaborative tools allow for onsite and/or remote team project management. Independent contractors, businesses, and college students create online profiles and portfolios, submit proposals for jobs, and collaborate and receive payment through the CertificationPoint. CertificationPoint allows for centralized credential management for businesses, contractors and college students for career management and networking.</p>",,,,,//,//,//,//
Chattersource,http://www.crunchbase.com/company/chattersource,"<p>Chattersource is a review and recommendation site covering housing, services, bars, and restaurants and is exclusively for college students.   Moving to a new city for school requires finding a new apartment, hair salon and bicycle shop.  The website aims to increase the relevancy of local reviews for the student lifestyle and budget by requiring an @edu email address to submit content.  Chattersource also allows students filter reviews by school or undergrad/grad as well share and thank fellow reviewers for a job well done.   Chattersource was started by two Wharton MBAs while they were and school and launched Philadelphia-wide in September 2010 with plans to expand to other cities in the near future.</p>",,,,,//,//,//,//
Civitas Learning,http://www.crunchbase.com/company/civitas-learning,"<p>Civitas Learning is creating a learning community to bring predictive analytics to higher education. They deliver actionable insights to drive better decisions that help institutions and faculty more effectively deploy scarce resources and students more successfully navigate today&#8217;s increasingly complex path to graduation.</p>

<p>The company gives schools the right tools and data infrastructure to know in real time what&#8217;s working—and what&#8217;s not—for an increasingly large and diverse college population.  As online and hybrid learning models expand and use of digital tools increase, learning interactions are generating enormous volumes of data. The company brings together these mountains of data, combined with historical and demographic data, to provide insights and personalized recommendations needed to transform the way decisions are made across campus and throughout the student lifecycle.</p>",,,,,//,//,//,//
Classof1,http://www.crunchbase.com/company/classof1,"<p>One of the largest Online Homework help Service Providers, giving 24/7 Online Homework and Assignment Help.</p>

<p>Classof1.com provides online tutoring, homework guidance and e-learning courseware development services to the school, college, and university student communities</p>",,,,,//,//,//,//
Clearly Beer Pong,http://www.crunchbase.com/company/clearly-beer-pong,"<p>Clearly Beer Pong brings you up to date information and products for the sport of beer pong.</p>

<p>CBP also likes to cover a wide range of other drinking games. We strive for a one stop location for all of your partying needs.</p>",,,,,//,//,//,//
CloudPollen Web Application,http://www.crunchbase.com/company/cloudpollen-web-application,"<p>CloudPollen is a new and simple to use web application for elearning and distance learning. Made specifically for educators that want a solution which works out-of-the-box, no installation, no configuration and no tech knowledge needed.</p>",,,,,//,//,//,//
